Date,Open,High,Low,Close,Adj Close,Volume
29-04-2005,5.527,5.536,5.425,5.479,5.479,368182886
02-05-2005,5.531,5.572,5.485,5.536,5.536,392160425
03-05-2005,5.526,5.682,5.512,5.634,5.634,713873782
04-05-2005,5.66,5.726,5.654,5.691,5.691,485151677
05-05-2005,5.694,5.694,5.626,5.653,5.653,301509913
06-05-2005,5.689,5.71,5.641,5.679,5.679,271570110
09-05-2005,5.679,5.691,5.615,5.629,5.629,222302131
10-05-2005,5.616,5.674,5.597,5.674,5.674,254783425
11-05-2005,5.703,5.778,5.677,5.761,5.761,460873014
12-05-2005,5.749,5.784,5.684,5.697,5.697,359269602
13-05-2005,5.708,5.756,5.662,5.71,5.71,297731805
16-05-2005,5.721,5.769,5.693,5.755,5.755,228107811
17-05-2005,5.742,5.814,5.734,5.806,5.806,313526787
18-05-2005,5.818,5.977,5.816,5.957,5.957,494325936
19-05-2005,5.986,6.007,5.935,5.957,5.957,390116793
20-05-2005,6.008,6.019,5.969,6.018,6.018,327763952
23-05-2005,6.056,6.428,6.045,6.362,6.362,858738744
24-05-2005,6.4,6.611,6.314,6.376,6.376,1166078427
25-05-2005,6.295,6.5,6.242,6.496,6.496,725023418
26-05-2005,6.5,6.569,6.433,6.456,6.456,543895039
27-05-2005,6.487,6.626,6.457,6.625,6.625,489190760
31-05-2005,6.711,6.934,6.709,6.906,6.906,892805959
01-06-2005,7.054,7.295,7.024,7.173,7.173,1412944285
02-06-2005,7.191,7.217,7.088,7.171,7.171,721658854
03-06-2005,7.143,7.205,6.909,6.98,6.98,754108027
06-06-2005,7.033,7.316,7.019,7.246,7.246,904413304
07-06-2005,7.4,7.462,7.23,7.301,7.301,976566743
08-06-2005,7.294,7.302,6.924,6.963,6.963,1031889331
09-06-2005,7.091,7.186,6.988,7.131,7.131,660109011
10-06-2005,7.148,7.155,6.974,7.036,7.036,509767599
13-06-2005,6.969,7.078,6.887,7.042,7.042,514047581
14-06-2005,6.939,7.005,6.918,6.933,6.933,405189077
15-06-2005,6.849,6.907,6.661,6.844,6.844,838454999
16-06-2005,6.831,6.932,6.801,6.91,6.91,500364485
17-06-2005,6.949,6.981,6.872,6.981,6.981,418940428
20-06-2005,6.876,7.165,6.768,7.141,7.141,844140229
21-06-2005,7.175,7.23,7.098,7.169,7.169,607560783
22-06-2005,7.215,7.281,7.19,7.205,7.205,420530365
23-06-2005,7.173,7.343,7.136,7.216,7.216,564363474
24-06-2005,7.245,7.422,7.212,7.404,7.404,713512433
27-06-2005,7.445,7.583,7.319,7.574,7.574,714785186
28-06-2005,7.628,7.702,7.522,7.522,7.522,764314139
29-06-2005,7.534,7.581,7.276,7.291,7.291,734691521
30-06-2005,7.331,7.445,7.249,7.326,7.326,606039101
01-07-2005,7.348,7.378,7.203,7.254,7.254,370487492
05-07-2005,7.275,7.372,7.229,7.365,7.365,300883574
06-07-2005,7.405,7.412,7.257,7.261,7.261,321211484
07-07-2005,7.208,7.367,7.186,7.361,7.361,428484066
08-07-2005,7.379,7.41,7.324,7.378,7.378,299422117
11-07-2005,7.382,7.387,7.248,7.306,7.306,336869956
12-07-2005,7.307,7.333,7.246,7.267,7.267,235475323
13-07-2005,7.285,7.453,7.275,7.444,7.444,459230882
14-07-2005,7.605,7.64,7.474,7.494,7.494,428307406
15-07-2005,7.503,7.557,7.467,7.502,7.502,338801168
18-07-2005,7.472,7.519,7.416,7.461,7.461,249242734
